"value";"language"
"Dekalog";"en"
"True Detective";"en"
"The Twilight Zone";"en"
"Hagane no renkinjutsushi";"en"
"Fargo";"en"
"The Blue Planet";"en"
"The Grand Tour";"en"
"Frozen Planet";"en"
"Batman  The Animated Series";"en"
"Death Note  Desu n?to";"en"
"One Punch Man  Wanpanman";"en"
"Kaub?i bibappu";"en"
"House of Cards";"en"
"Pride and Prejudice";"en"
"Monty Python ' s Flying Circus";"en"
"Arrested Development";"en"
"Stranger Things";"en"
"Das Boot";"en"
"TVF Pitchers";"en"
"Sarabhai vs Sarabhai";"en"
"Over the Garden Wall";"en"
"Narcos";"en"
"Seinfeld";"en"
"Twin Peaks";"en"
"Friends";"en"
"Black Mirror";"en"
"I";"en"
"Claudius";"en"
"Only Fools and Horses . . . .";"en"
"Freaks and Geeks";"en"
"Blackadder Goes Forth";"en"
"The Crown";"en"
"Rome";"en"
"Gravity Falls";"en"
"Fawlty Towers";"en"
"The Simpsons";"en"
"Making a Murderer";"en"
"Oz";"en"
"The Return of Sherlock Holmes";"en"
"The Jinx  The Life and Deaths of Robert Durst";"en"
"South Park";"en"
"From the Earth to the Moon";"en"
"Dragon Ball Z";"en"
"Archer";"en"
"Horace and Pete";"en"
"Top Gear";"en"
"House M . D .";"en"
"Shingeki no kyojin";"en"
"It ' s Always Sunny in Philadelphia";"en"
"Hunter x Hunter";"en"
"The Office";"en"
"Steins ; Gate";"en"
"Six Feet Under";"en"
"Chappelle ' s Show";"en"
"Dragon Ball Z  Doragon b?ru zetto";"en"
"Peaky Blinders";"en"
"The Adventures of Sherlock Holmes";"en"
"The West Wing";"en"
"Long Way Round";"en"
"This Is Us";"en"
"Deadwood";"en"
"North & South";"en"
"Daredevil";"en"
"Lonesome Dove";"en"
"Dexter";"en"
"Better Call Saul";"en"
"Nathan for You";"en"
"Battlestar Galactica";"en"
"The Thick of It";"en"
"The X Files";"en"
"Black   Adder II";"en"
"The Shield";"en"
"The Daily Show";"en"
"Curb Your Enthusiasm";"en"
"Doctor Who";"en"
"QI";"en"
"Rurouni Kenshin  Meiji Kenkaku Romantan  Tsuioku Hen";"en"
"Kenp? denki beruseruku";"en"
"The Night Of";"en"
"Through the Wormhole";"en"
"Black Adder the Third";"en"
"Mystery Science Theater 3000";"en"
"K?do giasu  Hangyaku no rur?shu";"en"
"Spaced";"en"
"Brass Eye";"en"
"Shameless";"en"
"Downton Abbey";"en"
"Mr . Robot";"en"
"Star Trek  The Next Generation";"en"
"Yes Minister";"en"
"Young Justice";"en"
"Louie";"en"
"Wan p?su  One Piece";"en"
"Generation Kill";"en"
"Mad Men";"en"
"Impractical Jokers";"en"
"Adventure Time with Finn & Jake";"en"
"Parks and Recreation";"en"
"John Adams";"en"
"Samurai chanpur?";"en"
"The Bugs Bunny Show";"en"
"Friday Night Lights";"en"
"Flight of the Conchords";"en"
"Monster";"en"
"Father Ted";"en"
"Dr . Horrible ' s Sing   Along Blog";"en"
"Kardes Payi";"en"
"Justice League";"en"
"Justified";"en"
"Gomorra   La serie";"en"
"Bron / Broen";"en"
"Atlanta";"en"
"Ash vs Evil Dead";"en"
"Dragon Ball  Doragon b?ru";"en"
"Boardwalk Empire";"en"
"Alfred Hitchcock Presents";"en"
"Shin Seiki Evangerion";"en"
"Dragon Ball";"en"
"Homicide  Life on the Street";"en"
"The Colbert Report";"en"
"Coupling";"en"
"Leyla ile Mecnun";"en"
"Spartacus  Gods of the Arena";"en"
"The Newsroom";"en"
"Peep Show";"en"
"Rur?ni Kenshin   Meiji kenkaku romantan";"en"
"Tinker Tailor Soldier Spy";"en"
"Whose Line Is It Anyway ?";"en"
"The Angry Video Game Nerd";"en"
"The Prisoner";"en"
"The New Batman Adventures";"en"
"Vikings";"en"
"The Venture Bros .";"en"
"Luther";"en"
"Agatha Christie ' s Poirot";"en"
"Suits";"en"
"The IT Crowd";"en"
"The Legend of Korra";"en"
"Black Books";"en"
"Mr . Bean";"en"
"K?kaku kid?tai  Stand Alone Complex";"en"
"I ' m Alan Partridge";"en"
"Hannibal";"en"
"Futurama";"en"
"Spartacus  Blood and Sand";"en"
"Jesus of Nazareth";"en"
"Sons of Anarchy";"en"
"Silicon Valley";"en"
"American Crime Story";"en"
"Behzat ? .  Bir Ankara Polisiyesi";"en"
"Wentworth";"en"
"The Knick";"en"
"Permanent Roommates";"en"
"Garth Marenghi ' s Darkplace";"en"
"Community";"en"
"Police Squad !";"en"
"Modern Family";"en"
"X   Men";"en"
"State of Play";"en"
"Scener ur ett ?ktenskap";"en"
"Jeeves and Wooster";"en"
"Endeavour";"en"
"The Larry Sanders Show";"en"
